insurer,sub_fund,fee_source_page,fee_source_locator,fee_source_url,fee_source_metric,fee_as_of_date,fee_verification_status,fee_verification_note
AIA,AIA Acorns of Asia Fund,12,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
AIA,AIA Adventurous Index Fund,16,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
AIA,AIA Adventurous Index Fund (USD),16,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
AIA,AIA Elite Adventurous Fund,27,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
AIA,AIA Elite Adventurous Fund (USD),27,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
AIA,AIA Elite Balanced Fund,27,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
AIA,AIA Elite Balanced Fund (USD),27,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
AIA,AIA Elite Conservative Fund,27,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
AIA,AIA Elite Conservative Fund (USD),27,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
AIA,AIA Emerging Markets Balanced Fund,34,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
AIA,AIA Emerging Markets Equity Fund,132,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
AIA,AIA European Equity Fund,132,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
AIA,AIA Global Adventurous Income Fund,44,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
AIA,AIA Global Balanced Fund,52,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
AIA,AIA Global Bond Fund,132,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
AIA,AIA Global Dynamic Income Fund,62,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
AIA,AIA Global Equity Fund,67,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
AIA,AIA Global Property Returns Fund,71,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
AIA,AIA Global Technology Fund,75,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
AIA,AIA Greater China Balanced Fund,82,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
AIA,AIA Greater China Equity Fund,82,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
AIA,AIA Growth Fund,90,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
AIA,AIA India Balanced Fund,97,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
AIA,AIA India Equity Fund,102,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
AIA,AIA India Opportunities Fund,97,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
AIA,AIA International Health Care Fund,106,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
AIA,AIA Japan Balanced Fund,113,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
AIA,AIA Japan Equity Fund,132,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
AIA,AIA Multi Select 30,132,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
AIA,AIA Multi Select 50,132,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
AIA,AIA Multi Select 70,132,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
AIA,AIA Portfolio 100,123,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
AIA,AIA Portfolio 30,123,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
AIA,AIA Portfolio 50,123,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
AIA,AIA Portfolio 70,123,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
AIA,AIA Regional Equity Fund,136,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
AIA,AIA Regional Fixed Income Fund,142,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
AIA,AIA S$ Money Market Fund,146,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
AIA,AIA Shariah Global Diversified Fund,150,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
AIA,AIA Sustainable Multi-Thematic Fund,155,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
AIA,AIA US Equity Fund,159,docs/research/ilp-source-archive-2026-03-31/aia-annual-funds-report-2025.pdf,https://www.aia.com.sg/content/dam/sg-wise/en/docs/our-products/save-and-invest/aia-annual-funds-reports/annual/aia-annual-funds-report-2025.pdf,Expense Ratio,31 Dec 2025,verified_exact,Verified against archived PDF aia-annual-funds-report-2025.pdf
Etiqa,AB American Growth Portfolio Fund - Class A SGD,7,docs/research/ilp-source-archive-2026-03-31/etiqa_fee_cache/427381efa2673d1f3481596e34d79c57.pdf,https://www.etiqa.com.sg/portfolio-funds-and-ilp-sub-funds,Management Fee,30 June 2025,verified_exact,Verified against archived PDF 427381efa2673d1f3481596e34d79c57.pdf
Etiqa,Abrdn All China Sustainable Equity Fund,3,docs/research/ilp-source-archive-2026-03-31/etiqa_fee_cache/d6f5aba1e0071b8cf2fb8a579746f5e4.pdf,https://www.etiqa.com.sg/portfolio-funds-and-ilp-sub-funds,Management Fee,,verified_exact,Verified against archived PDF d6f5aba1e0071b8cf2fb8a579746f5e4.pdf
Etiqa,Abrdn Global Dynamic Dividend Fund,3,docs/research/ilp-source-archive-2026-03-31/etiqa_fee_cache/db70bfaced587a2f00898e46a57d6a0e.pdf,https://www.etiqa.com.sg/wp-content/uploads/2022/03/Tiq-Invest-Product-Highlights-Sheet-Emerging-Markets-Bond-Fund.pdf,Management Fee,,verified_exact,Verified against archived PDF db70bfaced587a2f00898e46a57d6a0e.pdf
Etiqa,Alliance Bernstein American Income Portfolio Fund,7,docs/research/ilp-source-archive-2026-03-31/etiqa_fee_cache/427381efa2673d1f3481596e34d79c57.pdf,https://www.etiqa.com.sg/portfolio-funds-and-ilp-sub-funds,Management Fee,30 June 2025,verified_exact,Verified against archived PDF 427381efa2673d1f3481596e34d79c57.pdf
Etiqa,Allianz Income and Growth - Class AMi3 Dis (H2-SGD),1,docs/research/ilp-source-archive-2026-03-31/etiqa_fee_cache/3d88473b725e51eb9a073b96e49624b5.pdf,https://www.etiqa.com.sg/wp-content/uploads/2022/06/Allianz-Income-and-Growth-PHS.pdf,Expense Ratio,,verified_exact,Verified against archived PDF 3d88473b725e51eb9a073b96e49624b5.pdf
Etiqa,Amova ARK Disruptive Innovation Fund,3,docs/research/ilp-source-archive-2026-03-31/etiqa_fee_cache/30d020e104e4c8b55260c3398f2c6bdb.pdf,https://www.etiqa.com.sg/wp-content/uploads/2022/04/RP-ILP-Nikko-AM-ARK-PHS-Final.pdf,Management Fee,,verified_exact,Verified against archived PDF 30d020e104e4c8b55260c3398f2c6bdb.pdf
Etiqa,Ascend Asia Trust – Global Equity Fund,3,docs/research/ilp-source-archive-2026-03-31/etiqa_fee_cache/8ed026a93ce96f55b629744dcc1eff7f.pdf,https://www.etiqa.com.sg/wp-content/uploads/2023/10/FAM_Millenium_Equity_Fund_PHS.pdf,Management Fee,,verified_exact,Verified against archived PDF 8ed026a93ce96f55b629744dcc1eff7f.pdf
Etiqa,Asian Tiger Bond Fund,1,docs/research/ilp-source-archive-2026-03-31/etiqa_fee_cache/427381efa2673d1f3481596e34d79c57.pdf,https://www.etiqa.com.sg/portfolio-funds-and-ilp-sub-funds,Management Fee,,verified_exact,Verified against archived PDF 427381efa2673d1f3481596e34d79c57.pdf
Etiqa,BNP Paribas Aqua Fund Classic RH SGD MD Distribution,4,docs/research/ilp-source-archive-2026-03-31/etiqa_fee_cache/94e47a820527f92d534b55d9ce32239f.pdf,https://www.etiqa.com.sg/portfolio-funds-and-ilp-sub-funds,Management Fee,,verified_exact,Verified against archived PDF 94e47a820527f92d534b55d9ce32239f.pdf
