productId,productName,insurer,supportStatus,structureStatus,economicsStatus,metadataOnlyBehaviorCount,metadataOnlyBehaviors,unsupportedItemCount,unsupportedItems,variantUnsupportedMatrix
aia-elite-secure-income-5-pay,AIA Elite Secure Income - 5 Pay,AIA Singapore,supported,structured,supported,6,aia-elite-secure-income-5p-fund-management-charge | aia-elite-secure-income-5p-no-fund-switching | aia-elite-secure-income-5p-power-up-bonus | aia-elite-secure-income-5p-secure-monthly-income-election | aia-elite-secure-income-5p-secure-monthly-income-gating | aia-elite-secure-income-5p-withdrawal-eligibility-gating,9,"Accidental-death claim admission timing, exclusions, and settlement remain informational only beyond the modeled current ordinary death amount plus the first-5-policy-year 50%-of-paid-regular-premiums uplift. | Fund switching remains informational only because it is not allowed under the product terms. | Fund-level management charges remain informational only because they depend on the selected ILP sub-fund. | Minimum withdrawal amount, minimum post-withdrawal policy value, and top-up eligibility while premiums are outstanding remain informational only. | Power-up Bonus remains informational only because it depends on a withdrawal-adjustment factor after policy year 5. | Regular-premium paid history and paid / deemed-paid Secure Monthly Income erosion need a manual current net protected premium base input in V1. | Secure Monthly Income amount, payout age, and payout period selection remain manual-assumption inputs in V1. | Secure Monthly Income versus Target Monthly Income gating remains informational only, including payout opt-out, reinvested-unit handling, and resumption after payout suspension. | Terminal-illness claim handling remains informational only beyond the modeled current terminal-illness benefit amount.","sgd-mip-5: Secure Monthly Income amount, payout age, and payout period selection remain manual-assumption inputs in V1. || Secure Monthly Income versus Target Monthly Income gating remains informational only, including payout opt-out, reinvested-unit handling, and resumption after payout suspension. || Power-up Bonus remains informational only because it depends on a withdrawal-adjustment factor after policy year 5. || Regular-premium paid history and paid / deemed-paid Secure Monthly Income erosion need a manual current net protected premium base input in V1. || Accidental-death claim admission timing, exclusions, and settlement remain informational only beyond the modeled current ordinary death amount plus the first-5-policy-year 50%-of-paid-regular-premiums uplift. || Terminal-illness claim handling remains informational only beyond the modeled current terminal-illness benefit amount. || Fund-level management charges remain informational only because they depend on the selected ILP sub-fund. || Minimum withdrawal amount, minimum post-withdrawal policy value, and top-up eligibility while premiums are outstanding remain informational only. || Fund switching remains informational only because it is not allowed under the product terms."
aia-elite-secure-income-single-premium,AIA Elite Secure Income - Single Premium,AIA Singapore,supported,structured,supported,4,aia-elite-secure-income-sp-fund-management-charge | aia-elite-secure-income-sp-no-fund-switching | aia-elite-secure-income-sp-secure-monthly-income-election | aia-elite-secure-income-sp-single-premium-principal-tracking,6,"Accidental-death claim admission timing, exclusions, and settlement remain informational only beyond the modeled current ordinary death amount plus the first-5-policy-year 10%-of-single-premium uplift. | Fund switching is not allowed and remains informational only. | Fund-level management charges remain informational only because they depend on the selected ILP sub-fund. | Secure Monthly Income amount, payout age, and payout period selection remain manual-assumption inputs in V1. | Single-premium principal tracking and paid / deemed-paid Secure Monthly Income erosion need a manual current net protected premium base input in V1. | Terminal-illness claim handling remains informational only beyond the modeled current terminal-illness benefit amount.","sgd-open-ended-sp: Secure Monthly Income amount, payout age, and payout period selection remain manual-assumption inputs in V1. || Single-premium principal tracking and paid / deemed-paid Secure Monthly Income erosion need a manual current net protected premium base input in V1. || Accidental-death claim admission timing, exclusions, and settlement remain informational only beyond the modeled current ordinary death amount plus the first-5-policy-year 10%-of-single-premium uplift. || Terminal-illness claim handling remains informational only beyond the modeled current terminal-illness benefit amount. || Fund-level management charges remain informational only because they depend on the selected ILP sub-fund. || Fund switching is not allowed and remains informational only."
aia-invest-easy-cash-srs,AIA Invest Easy (Cash/SRS),AIA Singapore,supported,structured,supported,9,aia-invest-easy-cash-srs-automatic-fund-rebalancing | aia-invest-easy-cash-srs-first-year-accidental-death-claim-exclusions | aia-invest-easy-cash-srs-free-look-refund | aia-invest-easy-cash-srs-full-surrender | aia-invest-easy-cash-srs-fund-management-charge | aia-invest-easy-cash-srs-fund-switching | aia-invest-easy-cash-srs-maturity-benefit | aia-invest-easy-cash-srs-partial-withdrawal | aia-invest-easy-cash-srs-top-up-age-limit,7,"First-year accidental-death claim admission, exclusions, and settlement remain informational only beyond the modeled current accidental-death estimate. | Free-look refund behavior remains informational only. | Fund-level management charges remain informational only because they depend on the selected fund mix rather than a single product-level rate. | Fund-switching and automatic fund re-balancing remain informational only. | Maturity benefit at insured age 100 remains informational only. | Partial-withdrawal and full-surrender administration remain informational only. | Top-up age-limit handling remains informational only.","sgd-open-ended-cash-srs: First-year accidental-death claim admission, exclusions, and settlement remain informational only beyond the modeled current accidental-death estimate. || Maturity benefit at insured age 100 remains informational only. || Partial-withdrawal and full-surrender administration remain informational only. || Fund-switching and automatic fund re-balancing remain informational only. || Fund-level management charges remain informational only because they depend on the selected fund mix rather than a single product-level rate. || Free-look refund behavior remains informational only. || Top-up age-limit handling remains informational only."
aia-invest-easy-cpf,AIA Invest Easy (CPF),AIA Singapore,supported,structured,supported,10,aia-invest-easy-cpf-automatic-fund-rebalancing | aia-invest-easy-cpf-cpf-fund-eligibility | aia-invest-easy-cpf-first-year-accidental-death-claim-exclusions | aia-invest-easy-cpf-free-look-refund | aia-invest-easy-cpf-full-surrender | aia-invest-easy-cpf-fund-management-charge | aia-invest-easy-cpf-fund-switching | aia-invest-easy-cpf-maturity-benefit | aia-invest-easy-cpf-partial-withdrawal | aia-invest-easy-cpf-top-up-age-limit,7,"CPF-eligible fund restrictions and top-up age-limit handling remain informational only. | First-year accidental-death claim admission, exclusions, and settlement remain informational only beyond the modeled current accidental-death estimate. | Free-look refund behavior remains informational only. | Fund-level management charges remain informational only because they depend on the selected fund mix rather than a single product-level rate. | Fund-switching and automatic fund re-balancing remain informational only. | Maturity benefit at insured age 100 remains informational only. | Partial-withdrawal and full-surrender administration remain informational only.","sgd-open-ended-cpf: First-year accidental-death claim admission, exclusions, and settlement remain informational only beyond the modeled current accidental-death estimate. || Maturity benefit at insured age 100 remains informational only. || Partial-withdrawal and full-surrender administration remain informational only. || Fund-switching and automatic fund re-balancing remain informational only. || Fund-level management charges remain informational only because they depend on the selected fund mix rather than a single product-level rate. || Free-look refund behavior remains informational only. || CPF-eligible fund restrictions and top-up age-limit handling remain informational only."
aia-pro-lifetime-protector-ii,AIA Pro Lifetime Protector (II),AIA Singapore,supported,structured,supported,13,aia-pro-lifetime-protector-ii-aia-vitality-powerup-dollar | aia-pro-lifetime-protector-ii-fund-management-charge | aia-pro-lifetime-protector-ii-fund-switching-and-rebalancing | aia-pro-lifetime-protector-ii-insured-amount-variation | aia-pro-lifetime-protector-ii-milestone-event-increase-option | aia-pro-lifetime-protector-ii-no-lapse-privilege | aia-pro-lifetime-protector-ii-optional-riders | aia-pro-lifetime-protector-ii-partial-withdrawal-eligibility-gate | aia-pro-lifetime-protector-ii-premium-frequency-change | aia-pro-lifetime-protector-ii-regular-premium-variation | aia-pro-lifetime-protector-ii-reinstatement-underwriting-and-extra-mortality | aia-pro-lifetime-protector-ii-termination-limits | aia-pro-lifetime-protector-ii-top-up-eligibility-gate,9,"AIA Vitality PowerUp Dollar, optional riders, fund switching, automatic fund switching, automatic fund re-balancing, and fund-level management charges remain informational only. | Insured-amount variation, milestone-event increase option, regular-premium variation, and premium-frequency change handling remain informational only. | No Lapse Privilege debt carry and post-depletion fee accrual remain informational only. | Partial-withdrawal eligibility timing, minimum withdrawal amount, and minimum residual policy-value rules remain informational only. | Reinstatement underwriting and extra-mortality revisions remain informational only. | The Max current death benefit needs a manual current insured amount input because insured-amount changes and claim-side reductions are not reconstructed from history in V1. | The Max death-benefit claim-side payout settlement itself remains metadata-only beyond the modeled current snapshot and Benefit Charge corridor. | The Plus current death benefit needs a manual current insured amount input because insured-amount changes and claim-side reductions are not reconstructed from history in V1. | The Plus death-benefit claim-side payout settlement itself remains metadata-only beyond the modeled current snapshot and Benefit Charge corridor.","sgd-open-ended-plus: No Lapse Privilege debt carry and post-depletion fee accrual remain informational only. || Partial-withdrawal eligibility timing, minimum withdrawal amount, and minimum residual policy-value rules remain informational only. || Insured-amount variation, milestone-event increase option, regular-premium variation, and premium-frequency change handling remain informational only. || AIA Vitality PowerUp Dollar, optional riders, fund switching, automatic fund switching, automatic fund re-balancing, and fund-level management charges remain informational only. || Reinstatement underwriting and extra-mortality revisions remain informational only. || The Plus current death benefit needs a manual current insured amount input because insured-amount changes and claim-side reductions are not reconstructed from history in V1. || The Plus death-benefit claim-side payout settlement itself remains metadata-only beyond the modeled current snapshot and Benefit Charge corridor. ;; sgd-open-ended-max: No Lapse Privilege debt carry and post-depletion fee accrual remain informational only. || Partial-withdrawal eligibility timing, minimum withdrawal amount, and minimum residual policy-value rules remain informational only. || Insured-amount variation, milestone-event increase option, regular-premium variation, and premium-frequency change handling remain informational only. || AIA Vitality PowerUp Dollar, optional riders, fund switching, automatic fund switching, automatic fund re-balancing, and fund-level management charges remain informational only. || Reinstatement underwriting and extra-mortality revisions remain informational only. || The Max current death benefit needs a manual current insured amount input because insured-amount changes and claim-side reductions are not reconstructed from history in V1. || The Max death-benefit claim-side payout settlement itself remains metadata-only beyond the modeled current snapshot and Benefit Charge corridor."
aia-platinum-retirement-elite,AIA Platinum Retirement Elite,AIA Singapore,supported,structured,supported,7,aia-platinum-retirement-elite-fund-management-charge | aia-platinum-retirement-elite-fund-switching | aia-platinum-retirement-elite-monthly-retirement-income-election | aia-platinum-retirement-elite-power-up-bonus | aia-platinum-retirement-elite-single-premium-corridor | aia-platinum-retirement-elite-stepped-up-income-option | aia-platinum-retirement-elite-top-up-eligibility-gating,7,"Fund switching mechanics remain informational only. | Fund-level management charges remain informational only because they depend on the selected ILP sub-fund. | Minimum withdrawal amount, minimum post-withdrawal policy value, top-up eligibility while premiums are outstanding, and top-up suspension remain informational only. | Power-up Bonus remains informational only because it depends on a withdrawal-adjustment factor and separately documented single-premium versus regular-premium policy values. | Single-pay and SRS single-premium corridors remain informational only in V1, including the 5% single-premium charge and single-premium withdrawal / surrender charge schedules. | Target Monthly Retirement Income amount, Target Retirement Age, Target Payout Period, and Stepped-up Income Option remain manual-assumption inputs in V1. | The current-state terminal-illness benefit amount is modeled as the same amount as the current death-benefit estimate, and the current accidental-death amount is modeled as the current death-benefit estimate plus 50% of cumulative paid regular premiums during the first 5 policy years, but accidental-death and terminal-illness claim admission, exclusions, settlement, and policy-termination handling remain informational only.","sgd-mip-5: Target Monthly Retirement Income amount, Target Retirement Age, Target Payout Period, and Stepped-up Income Option remain manual-assumption inputs in V1. || Power-up Bonus remains informational only because it depends on a withdrawal-adjustment factor and separately documented single-premium versus regular-premium policy values. || Single-pay and SRS single-premium corridors remain informational only in V1, including the 5% single-premium charge and single-premium withdrawal / surrender charge schedules. || The current-state terminal-illness benefit amount is modeled as the same amount as the current death-benefit estimate, and the current accidental-death amount is modeled as the current death-benefit estimate plus 50% of cumulative paid regular premiums during the first 5 policy years, but accidental-death and terminal-illness claim admission, exclusions, settlement, and policy-termination handling remain informational only. || Fund-level management charges remain informational only because they depend on the selected ILP sub-fund. || Minimum withdrawal amount, minimum post-withdrawal policy value, top-up eligibility while premiums are outstanding, and top-up suspension remain informational only. || Fund switching mechanics remain informational only."
aia-platinum-wealth-elite-2,AIA Platinum Wealth Elite 2.0,AIA Singapore,supported,structured,supported,12,aia-platinum-wealth-elite-2-administration-charge | aia-platinum-wealth-elite-2-change-of-insured-and-layering | aia-platinum-wealth-elite-2-death-benefit-bequest-option | aia-platinum-wealth-elite-2-free-legacy-cover | aia-platinum-wealth-elite-2-fund-management-charge | aia-platinum-wealth-elite-2-fund-switching-and-rebalancing | aia-platinum-wealth-elite-2-income-withdrawal-privilege | aia-platinum-wealth-elite-2-insurance-risk-charge | aia-platinum-wealth-elite-2-no-lapse-privilege | aia-platinum-wealth-elite-2-premium-term-extension | aia-platinum-wealth-elite-2-single-premium-corridor | aia-platinum-wealth-elite-2-vitality-bonus,9,"Administration charge remains informational only because it depends on issue-age and change-of-insured layering state. | Death Benefit Bequest Option and other protection-side payout handling remain informational only. | Fund-level management charges, fund switching, and automatic fund re-balancing remain informational only. | Income Withdrawal Privilege, vitality-linked bonuses, and change-of-insured effects remain informational only. | Insurance Risk Charge, Free Legacy Cover, and No Lapse Privilege debt accrual remain informational only. | Optional extension of the regular premium term beyond five years remains informational only in V1. | Single-pay corridor and the 5% single-premium charge remain informational only in V1. | Terminal-illness claim admission, exclusions, settlement, and post-claim state remain informational only beyond the modeled current terminal-illness amount. | The current death benefit needs a manual current insured amount input because withdrawals, Income Withdrawal Privilege usage, and claim-side reductions are not reconstructed from history in V1.","sgd-mip-5: Single-pay corridor and the 5% single-premium charge remain informational only in V1. || Optional extension of the regular premium term beyond five years remains informational only in V1. || Administration charge remains informational only because it depends on issue-age and change-of-insured layering state. || Insurance Risk Charge, Free Legacy Cover, and No Lapse Privilege debt accrual remain informational only. || Income Withdrawal Privilege, vitality-linked bonuses, and change-of-insured effects remain informational only. || The current death benefit needs a manual current insured amount input because withdrawals, Income Withdrawal Privilege usage, and claim-side reductions are not reconstructed from history in V1. || Death Benefit Bequest Option and other protection-side payout handling remain informational only. || Terminal-illness claim admission, exclusions, settlement, and post-claim state remain informational only beyond the modeled current terminal-illness amount. || Fund-level management charges, fund switching, and automatic fund re-balancing remain informational only."
aia-platinum-wealth-legacy,AIA Platinum Wealth Legacy,AIA Singapore,supported,structured,supported,8,aia-platinum-wealth-legacy-administration-charge | aia-platinum-wealth-legacy-expiry-age-election | aia-platinum-wealth-legacy-fund-management-charge | aia-platinum-wealth-legacy-insurance-risk-charge | aia-platinum-wealth-legacy-layering-and-adjusted-partial-withdrawal | aia-platinum-wealth-legacy-no-fund-switching | aia-platinum-wealth-legacy-no-lapse-privilege | aia-platinum-wealth-legacy-single-premium-corridor,8,"Adjusted partial withdrawal, layer creation from insured-amount changes, and minimum-insured-amount gating remain informational only. | Administration charge remains informational only because the applicable rates live in the policy illustration rather than the product summary. | Fund-level management charges and no-fund-switching constraints remain informational only. | Insurance Risk Charge, No Lapse Privilege activation or termination, and expiry-age election mechanics remain informational only. | Other protection-side payout handling remains informational only. | Single-pay corridor and the 5% single-premium charge remain informational only in V1. | Terminal-illness claim admission, exclusions, settlement, and post-claim state remain informational only beyond the modeled current terminal-illness amount. | The current death benefit needs manual current insured amount, current amount owing, and current No Lapse Privilege mode inputs because adjusted partial withdrawals and no-lapse history are not reconstructed from history in V1.","sgd-mip-5: Single-pay corridor and the 5% single-premium charge remain informational only in V1. || Administration charge remains informational only because the applicable rates live in the policy illustration rather than the product summary. || The current death benefit needs manual current insured amount, current amount owing, and current No Lapse Privilege mode inputs because adjusted partial withdrawals and no-lapse history are not reconstructed from history in V1. || Insurance Risk Charge, No Lapse Privilege activation or termination, and expiry-age election mechanics remain informational only. || Adjusted partial withdrawal, layer creation from insured-amount changes, and minimum-insured-amount gating remain informational only. || Terminal-illness claim admission, exclusions, settlement, and post-claim state remain informational only beyond the modeled current terminal-illness amount. || Other protection-side payout handling remains informational only. || Fund-level management charges and no-fund-switching constraints remain informational only."
aia-platinum-wealth-venture-2,AIA Platinum Wealth Venture 2.0,AIA Singapore,supported,structured,supported,4,aia-platinum-wealth-venture-2-fund-management-charge | aia-platinum-wealth-venture-2-fund-switching | aia-platinum-wealth-venture-2-secondary-insured-option | aia-platinum-wealth-venture-2-top-up-eligibility-gating,5,"Accidental-death claim admission / exclusions / settlement, secondary-insured handling, and other protection-side claim handling remain informational only beyond the modeled current ordinary death-benefit estimate plus the first-2-policy-year 100%-of-paid-regular-premiums accidental-death uplift. | Any underwriting or approval handling around premium resumption remains informational only. | Fund switching and reinvested dividend top-up units remain informational only. | Fund-level management charges remain informational only because they depend on the selected ILP sub-fund. | Minimum withdrawal amount, minimum post-withdrawal policy value, regular-top-up eligibility while premiums are outstanding, and top-up suspension remain informational only.","sgd-mip-5: Accidental-death claim admission / exclusions / settlement, secondary-insured handling, and other protection-side claim handling remain informational only beyond the modeled current ordinary death-benefit estimate plus the first-2-policy-year 100%-of-paid-regular-premiums accidental-death uplift. || Fund-level management charges remain informational only because they depend on the selected ILP sub-fund. || Minimum withdrawal amount, minimum post-withdrawal policy value, regular-top-up eligibility while premiums are outstanding, and top-up suspension remain informational only. || Fund switching and reinvested dividend top-up units remain informational only. || Any underwriting or approval handling around premium resumption remains informational only."
aia-wealth-venture,AIA Wealth Venture,AIA Singapore,supported,structured,supported,4,aia-wealth-venture-fund-management-charge | aia-wealth-venture-fund-switching | aia-wealth-venture-secondary-insured-option | aia-wealth-venture-top-up-eligibility-gating,5,"Accidental-death claim admission / exclusions / settlement, secondary-insured handling, and other protection-side claim handling remain informational only beyond the modeled current ordinary death-benefit estimate plus the first-2-policy-year 100%-of-paid-regular-premiums accidental-death uplift. | Any underwriting or approval handling around premium resumption remains informational only. | Fund switching and automatic fund switching / re-balancing remain informational only. | Fund-level management charges remain informational only because they depend on the selected ILP sub-fund. | Minimum withdrawal amount, minimum post-withdrawal policy value, regular-top-up eligibility while premiums are outstanding, and top-up suspension remain informational only.","sgd-mip-8: Accidental-death claim admission / exclusions / settlement, secondary-insured handling, and other protection-side claim handling remain informational only beyond the modeled current ordinary death-benefit estimate plus the first-2-policy-year 100%-of-paid-regular-premiums accidental-death uplift. || Fund-level management charges remain informational only because they depend on the selected ILP sub-fund. || Minimum withdrawal amount, minimum post-withdrawal policy value, regular-top-up eligibility while premiums are outstanding, and top-up suspension remain informational only. || Fund switching and automatic fund switching / re-balancing remain informational only. || Any underwriting or approval handling around premium resumption remains informational only."
